id,root_name,asset_type,confidence,tex_top,tex_side,tex_bottom,tex_front,tex_all,model_file,fuzzy_2,fuzzy_3,status,final_top,final_side,final_bottom,final_front,final_all,final_model
1,Unloaded,texture,exact,,,,,unloaded,,,,resolved,unloaded,unloaded,unloaded,,unloaded,
2,Dirt,texture,exact,,,,,dirt,,,,resolved,dirt,dirt,dirt,,dirt,
3,Messy Dirt,texture,low,,,,,,,dirt,coarse_dirt,resolved,,,,,coarse_dirt,
4,Grass Block,texture,multi_face,,grass_block_side,,,,,,,resolved,grass_top,grass_block_side,dirt,,,
5,Sand,texture,exact,,,,,sand,,,,resolved,sand,sand,sand,,sand,
6,Clay,texture,exact,,,,,clay,,,,resolved,clay,clay,clay,,clay,
7,Gravel,texture,exact,,,,,gravel,,,,resolved,gravel,gravel,gravel,,gravel,
8,Snow,texture,exact,,,,,snow,,,,resolved,snow,snow,snow,,snow,
9,Maple Log,texture,exact,,,,,log_maple,,,,resolved,log_maple,log_maple,log_maple,,log_maple,
10,Pine Log,texture,exact,,,,,log_pine,,,,resolved,log_pine,log_pine,log_pine,,log_pine,
11,Plum Log,texture,exact,,,,,log_plum,,,,resolved,log_plum,log_plum,log_plum,,log_plum,
12,Cedar Log,texture,exact,,,,,log_cedar,,,,resolved,log_cedar,log_cedar,log_cedar,,log_cedar,
13,Aspen Log,texture,exact,,,,,log_aspen,,,,resolved,log_aspen,log_aspen,log_aspen,,log_aspen,
14,Jungle Log,texture,exact,,,,,log_jungle,,,,resolved,log_jungle,log_jungle,log_jungle,,log_jungle,
15,Maple Wood Planks,texture,low,,,,,,,planks_maple,black_planks,resolved,,,,,planks_maple,
16,Aspen Wood Planks,texture,low,,,,,,,planks_aspen,aspen_door,resolved,,,,,planks_aspen,
17,Plum Wood Planks,texture,low,,,,,,,planks_plum,plum,resolved,,,,,planks_plum,
18,Jungle Wood Planks,texture,low,,,,,,,planks_jungle,black_planks,resolved,,,,,planks_jungle,
19,Pine Wood Planks,texture,low,,,,,,,planks_pine,black_planks,resolved,,,,,planks_pine,
20,Cedar Wood Planks,texture,low,,,,,,,planks_cedar,black_planks,resolved,,,,,planks_cedar,
21,Barkless Maple Log,texture,low,,,,,,,log_maple,stripped_maple_log,resolved,,,,,stripped_maple_log,
22,Barkless Aspen Log,texture,low,,,,,,,log_aspen,stripped_aspen_log,resolved,,,,,stripped_aspen_log,
23,Barkless Plum Log,texture,low,,,,,,,log_plum,stripped_plum_log,resolved,,,,,stripped_plum_log,
24,Barkless Jungle Log,texture,low,,,,,,,log_jungle,stripped_jungle_log,resolved,,,,,stripped_jungle_log,
25,Barkless Pine Log,texture,low,,,,,,,log_pine,stripped_pine_log,resolved,,,,,stripped_pine_log,
26,Barkless Cedar Log,texture,low,,,,,,,log_cedar,stripped_cedar_log,resolved,,,,,stripped_cedar_log,
27,free_placeholder2,texture,no_match,,,,,,,,,pending,,,,,,
28,Stone,texture,exact,,,,,stone,,,,resolved,stone,stone,stone,,stone,
29,Messy Stone,texture,exact,,,,,messy_stone,,,,resolved,messy_stone,messy_stone,messy_stone,,messy_stone,
30,free_placeholder,texture,low,,,,,,,placeholder,,resolved,,,,,messy_stone,
31,Smooth Stone,texture,exact,,,,,smooth_stone,,,,resolved,smooth_stone,smooth_stone,smooth_stone,,smooth_stone,
32,Diorite,texture,low,,,,,,,diorite_brick,engraved_diorite,resolved,,,,,stone_diorite,
