id,full_name,root_name,meta_suffix
1,Unloaded,Unloaded,
2,Dirt,Dirt,
3,Messy Dirt,Messy Dirt,
4,Grass Block,Grass Block,
5,Sand,Sand,
6,Clay,Clay,
7,Gravel,Gravel,
8,Snow,Snow,
9,Maple Log,Maple Log,
10,Pine Log,Pine Log,
11,Plum Log,Plum Log,
12,Cedar Log,Cedar Log,
13,Aspen Log,Aspen Log,
14,Jungle Log,Jungle Log,
15,Maple Wood Planks,Maple Wood Planks,
16,Aspen Wood Planks,Aspen Wood Planks,
17,Plum Wood Planks,Plum Wood Planks,
18,Jungle Wood Planks,Jungle Wood Planks,
19,Pine Wood Planks,Pine Wood Planks,
20,Cedar Wood Planks,Cedar Wood Planks,
21,Barkless Maple Log,Barkless Maple Log,
22,Barkless Aspen Log,Barkless Aspen Log,
23,Barkless Plum Log,Barkless Plum Log,
24,Barkless Jungle Log,Barkless Jungle Log,
25,Barkless Pine Log,Barkless Pine Log,
26,Barkless Cedar Log,Barkless Cedar Log,
27,free_placeholder2,free_placeholder2,
28,Stone,Stone,
29,Messy Stone,Messy Stone,
30,free_placeholder,free_placeholder,
31,Smooth Stone,Smooth Stone,
32,Diorite,Diorite,
33,Smooth Diorite,Smooth Diorite,
34,Andesite,Andesite,
35,Smooth Andesite,Smooth Andesite,
36,Granite,Granite,
37,Smooth Granite,Smooth Granite,
38,Sandstone,Sandstone,
39,Yellowstone,Yellowstone,
40,Coal Ore,Coal Ore,
41,Iron Ore,Iron Ore,
42,Gold Ore,Gold Ore,
43,Lapis Lazuli Ore,Lapis Lazuli Ore,
44,Emerald Ore,Emerald Ore,
45,Diamond Ore,Diamond Ore,
46,Block of Coal,Block of Coal,
47,Block of Iron,Block of Iron,
48,Block of Gold,Block of Gold,
49,Block of Lapis Lazuli,Block of Lapis Lazuli,
50,Block of Emerald,Block of Emerald,
51,White Wool,White Wool,
52,Orange Wool,Orange Wool,
53,Magenta Wool,Magenta Wool,
54,Light Blue Wool,Light Blue Wool,
55,Yellow Wool,Yellow Wool,
56,Lime Wool,Lime Wool,
57,Pink Wool,Pink Wool,
58,Gray Wool,Gray Wool,
59,Light Gray Wool,Light Gray Wool,
60,Cyan Wool,Cyan Wool,
